umap-2d-one,umap-2d-two,y_sub
-5.187436,2.8653386,0.0
-5.6598816,2.3119888,0.0
-5.0050097,3.2855158,0.0
-4.931296,3.3852692,0.0
-5.044718,3.1480603,0.0
-5.8267713,2.1485066,0.0
-5.448671,2.7754314,0.0
-5.135842,2.9508595,0.0
-4.8308134,3.6129878,0.0
-5.753808,2.2151906,0.0
-5.261179,2.9352882,0.0
-5.1016374,3.1209238,0.0
-4.9173546,3.4719036,0.0
-5.833577,2.1419685,0.0
-5.5765963,2.3954823,0.0
-5.0317626,3.1835701,0.0
-5.089276,2.997307,0.0
-5.026782,3.3110662,0.0
-4.956172,3.3562973,0.0
-5.1404095,3.1974964,0.0
-4.9962616,3.2459943,0.0
-5.152813,3.1413171,0.0
-5.4165382,2.5853434,0.0
-5.7981668,2.1788151,0.0
-4.890561,3.4785557,0.0
-5.0716934,3.0559256,0.0
-5.1001077,3.0895915,0.0
-4.867136,3.5073879,0.0
-5.408377,2.573481,0.0
-4.841494,3.5904672,0.0
-5.4211197,2.5047262,0.0
-5.588494,2.4304028,0.0
-4.879289,3.492706,0.0
-5.07617,3.0555778,0.0
-4.940212,3.3877962,0.0
-5.838422,2.1372902,0.0
-5.2417736,2.6978445,0.0
-5.3877726,2.5613573,0.0
-5.2068105,2.7833884,0.0
-5.5294065,2.5294592,0.0
-4.9739304,3.1708922,0.0
-4.7384634,3.7322514,0.0
-4.8677764,3.4961848,0.0
-5.3795905,2.6999018,0.0
-5.607508,2.414305,0.0
-4.9192224,3.4270957,0.0
-5.681108,2.3003454,0.0
-5.7170296,2.2486546,0.0
-5.059833,3.2670224,0.0
-5.581678,2.42346,0.0
-5.453902,2.523227,0.0
-4.9616942,3.3367887,0.0
-5.0946355,3.0285866,0.0
-5.183596,2.8677082,0.0
-5.44912,2.734229,0.0
-5.7195935,2.2817032,0.0
-5.706738,2.305314,0.0
-4.796068,3.6743526,0.0
-5.0699277,3.028477,0.0
-5.537925,2.4811738,0.0
-5.3843794,2.7245257,0.0
-5.8179326,2.1571121,0.0
-5.404802,2.5276031,0.0
-5.319928,2.918534,0.0
-5.125504,3.2129855,0.0
-5.3545775,2.8224332,0.0
-5.436557,2.6494641,0.0
-5.3348284,2.642116,0.0
-5.739033,2.255227,0.0
-5.2482452,2.884799,0.0
-5.17956,2.883036,0.0
-5.460361,2.5407639,0.0
-4.9266205,3.414323,0.0
-4.913006,3.4489293,0.0
-4.90582,3.4531898,0.0
-5.7065945,2.3051178,0.0
-5.1046453,3.1139529,0.0
-5.850358,2.1248236,0.0
-5.1074443,2.9903185,0.0
-5.0429716,3.3436854,0.0
-5.775177,2.202682,0.0
-5.1887374,3.1194296,0.0
-5.637986,2.3560297,0.0
-5.290451,2.7897198,0.0
-5.0221076,3.1988122,0.0
-5.5818186,2.4535825,0.0
-5.321538,2.629303,0.0
-5.545636,2.4908392,0.0
-5.6839895,2.2868898,0.0
-5.5173445,2.5267684,0.0
-5.2574563,2.9012935,0.0
